Date,co2_ppm,Yr,month
1964/5/31,322.25,1964,5
1964/6/30,321.89001,1964,6
1964/7/31,320.44,1964,7
1964/8/31,318.69,1964,8
1964/9/30,316.70999,1964,9
1964/10/31,316.87,1964,10
1964/11/30,317.67999,1964,11
1964/12/31,318.70999,1964,12
1965/1/31,319.44,1965,1
1965/2/28,320.44,1965,2
1965/3/31,320.89001,1965,3
1965/4/30,322.13,1965,4
1965/5/31,322.17001,1965,5
1965/6/30,321.87,1965,6
1965/7/31,321.20999,1965,7
1965/8/31,318.87,1965,8
1965/9/30,317.82001,1965,9
1965/10/31,317.29999,1965,10
1965/11/30,318.87,1965,11
1965/12/31,319.42001,1965,12
1966/1/31,320.62,1966,1
1966/2/28,321.60001,1966,2
1966/3/31,322.39001,1966,3
1966/4/30,323.70001,1966,4
1966/5/31,324.07999,1966,5
1966/6/30,323.75,1966,6
1966/7/31,322.37,1966,7
1966/8/31,320.35999,1966,8
1966/9/30,318.64001,1966,9
1966/10/31,318.10001,1966,10
1966/11/30,319.78,1966,11
1966/12/31,321.01999,1966,12
1967/1/31,322.32999,1967,1
1967/2/28,322.5,1967,2
1967/3/31,323.03,1967,3
1967/4/30,324.41,1967,4
1967/5/31,325,1967,5
1967/6/30,324.09,1967,6
1967/7/31,322.54001,1967,7
1967/8/31,320.92001,1967,8
1967/9/30,319.25,1967,9
1967/10/31,319.39001,1967,10
1967/11/30,320.72,1967,11
1967/12/31,321.95001,1967,12
1968/1/31,322.57001,1968,1
1968/2/29,323.14999,1968,2
1968/3/31,323.89001,1968,3
1968/4/30,325.01999,1968,4
1968/5/31,325.57001,1968,5
1968/6/30,325.35999,1968,6
1968/7/31,324.14001,1968,7
1968/8/31,322.10999,1968,8
1968/9/30,320.32999,1968,9
1968/10/31,320.25,1968,10
1968/11/30,321.32001,1968,11
1968/12/31,322.89001,1968,12
1969/1/31,324,1969,1
1969/2/28,324.41,1969,2
1969/3/31,325.63,1969,3
1969/4/30,326.66,1969,4
1969/5/31,327.38,1969,5
1969/6/30,326.70999,1969,6
1969/7/31,325.88,1969,7
1969/8/31,323.66,1969,8
1969/9/30,322.38,1969,9
1969/10/31,321.78,1969,10
1969/11/30,322.85001,1969,11
1969/12/31,324.10999,1969,12
1970/1/31,325.06,1970,1
1970/2/28,325.98999,1970,2
1970/3/31,326.92999,1970,3
1970/4/30,328.13,1970,4
1970/5/31,328.07999,1970,5
1970/6/30,327.67001,1970,6
1970/7/31,326.34,1970,7
1970/8/31,324.67999,1970,8
1970/9/30,323.10001,1970,9
1970/10/31,323.07001,1970,10
1970/11/30,324.01001,1970,11
1970/12/31,325.13,1970,12
1971/1/31,326.17001,1971,1
1971/2/28,326.67999,1971,2
1971/3/31,327.17999,1971,3
1971/4/30,327.78,1971,4
1971/5/31,328.92999,1971,5
1971/6/30,328.57001,1971,6
1971/7/31,327.35999,1971,7
1971/8/31,325.42999,1971,8
1971/9/30,323.35999,1971,9
1971/10/31,323.56,1971,10
1971/11/30,324.79999,1971,11
1971/12/31,326.01001,1971,12
